0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether
0x00000000219ab540356cbb839cbe05303d7705fa,Eth2 Deposit Contract
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,Compound: cETH Token
0x53d284357ec70ce289d6d64134dfac8e511c8a3d,Kraken 6
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2
0xf66852bc122fd40bfecc63cd48217e88bda12109,Huobi 37
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,Lido: Curve Liquidity Farming Pool Contract
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3
0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,Liquity: Active Pool
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,Polygon (Matic): Ether Bridge
0xa929022c9107643515f5c777ce9a910f0d1e490c,HECO Chain: Bridge
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,EthDev
0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,Arbitrum: Bridge
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,Vb 3
0x3bfc20f0b9afcace800d73d2191166ff16540258,Polkadot: MultiSig
0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1
0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3
0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3
0xbddf00563c9abd25b576017f08c46982012f12be,CONTRACT
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8
0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,CONTRACT
0xf774da4418c6dca3051f0e7570829b24214e730b,CONTRACT
0xa160cdab225685da1d56aa342ad8841c3b53f291,Tornado.Cash: 100 ETH
0xd69b0089d9ca950640f5dc9931a41a5965f00303,CONTRACT
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,Golem: MultiSig
0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,CONTRACT
0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,Aave: Lending Pool Core V1
0x78605df79524164911c144801f41e9811b7db73d,BitDAO: Treasury
0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,CONTRACT
0x3262f13a39efaca789ae58390441c9ed76bc658a,CONTRACT
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken 2
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,Blockfolio
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange
0x376c3e5547c68bc26240d8dcc6729fff665a4448,Iconomi: MultiSig 1
0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,Fund: 0x115...3cD
0x3d4530082c3eb60f58af03f79b1ed3f40e591cd1,Golem: Foundation
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone 2
0xbf4ed7b27f1d666546e30d74d50d173d20bca754,WithdrawDAO
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14
0xc1bf8f2acc5d5824974ce4c90a8438421150f753,CONTRACT
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2
0xcb9225bb407bc585ffbb863dc924aad07c97af2c,CONTRACT
0x7e6ea81a68a2af50f64a37b3d6e50b1abb796da8,CONTRACT
